nome_original,nome_normalizado,frequencia,prevalencia,incluida_modelo,motivo
Chuveiro externo,chuveiro externo,1155,0.26007655933348345,False,fora do intervalo 10-90% ou não top10 por frequência
Máquina de lavar Gratuito,maquina de lavar gratuito,31,0.0069804098176086465,False,fora do intervalo 10-90% ou não top10 por frequência
Roupa de cama,roupa de cama,1314,0.29587930646250843,False,fora do intervalo 10-90% ou não top10 por frequência
Varal para secar roupas,varal para secar roupas,1516,0.3413645575320874,False,fora do intervalo 10-90% ou não top10 por frequência
Local para guardar as roupas: guarda-roupa,local para guardar as roupas: guarda-roupa,835,0.18802071605494258,False,fora do intervalo 10-90% ou não top10 por frequência
HDTV,hdtv,48,0.010808376491781131,False,fora do intervalo 10-90% ou não top10 por frequência
Ar-condicionado split,ar-condicionado split,772,0.17383472190947985,False,fora do intervalo 10-90% ou não top10 por frequência
Ventilador de teto,ventilador de teto,415,0.09344742175185769,False,fora do intervalo 10-90% ou não top10 por frequência
Wi-Fi,wi-fi,4153,0.9351497410493133,False,fora do intervalo 10-90% ou não top10 por frequência
Refrigerador,refrigerador,1956,0.44044134204008106,False,fora do intervalo 10-90% ou não top10 por frequência
Microondas,microondas,2121,0.4775951362305787,True,prevalencia 10-90% e/ou frequência top10
Louças e talheres,loucas e talheres,2396,0.5395181265480747,True,prevalencia 10-90% e/ou frequência top10
Fogão a gás Other,fogao a gas other,158,0.03557757261877956,False,fora do intervalo 10-90% ou não top10 por frequência
Forno Normal,forno normal,146,0.03287547849583427,False,fora do intervalo 10-90% ou não top10 por frequência
Liquidificador,liquidificador,1427,0.3213240261202432,False,fora do intervalo 10-90% ou não top10 por frequência
Churrasqueira,churrasqueira,2892,0.6512046836298131,True,prevalencia 10-90% e/ou frequência top10
Estacionamento incluído,estacionamento incluido,3552,0.7998198603918036,True,prevalencia 10-90% e/ou frequência top10
O anfitrião recebe você,o anfitriao recebe voce,1151,0.2591758612925017,False,fora do intervalo 10-90% ou não top10 por frequência
Secador de cabelo,secador de cabelo,1167,0.26277865345642876,False,fora do intervalo 10-90% ou não top10 por frequência
Água quente,agua quente,1656,0.372888988966449,False,fora do intervalo 10-90% ou não top10 por frequência
Máquina de Lavar,maquina de lavar,3228,0.726863319072281,True,prevalencia 10-90% e/ou frequência top10
Básico,basico,968,0.21796892591758613,False,fora do intervalo 10-90% ou não top10 por frequência
Cabides,cabides,1896,0.42693087142535463,False,fora do intervalo 10-90% ou não top10 por frequência
Ferro de passar,ferro de passar,2034,0.4580049538392254,True,prevalencia 10-90% e/ou frequência top10
TV,tv,3439,0.7743751407340689,True,prevalencia 10-90% e/ou frequência top10
Ar-condicionado,ar-condicionado,3235,0.7284395406439991,True,prevalencia 10-90% e/ou frequência top10
Cozinha,cozinha,4258,0.9587930646250844,False,fora do intervalo 10-90% ou não top10 por frequência
Fogão,fogao,1242,0.27966674172483674,False,fora do intervalo 10-90% ou não top10 por frequência
Forno,forno,1352,0.30443593785183515,False,fora do intervalo 10-90% ou não top10 por frequência
Cafeteira: cafeteira com coador,cafeteira: cafeteira com coador,118,0.026570592208961945,False,fora do intervalo 10-90% ou não top10 por frequência
Taças de vinho,tacas de vinho,947,0.2132402612024319,False,fora do intervalo 10-90% ou não top10 por frequência
Torradeira,torradeira,690,0.15537041206935376,False,fora do intervalo 10-90% ou não top10 por frequência
Assadeira,assadeira,867,0.19522630038279667,False,fora do intervalo 10-90% ou não top10 por frequência
Mesa de jantar,mesa de jantar,1562,0.3517225850033776,False,fora do intervalo 10-90% ou não top10 por frequência
Acesso à praia compartilhado,acesso a praia compartilhado,425,0.0956991668543121,False,fora do intervalo 10-90% ou não top10 por frequência
Pátio ou varanda (Privativa),patio ou varanda (privativa),587,0.1321774375140734,False,fora do intervalo 10-90% ou não top10 por frequência
Estacionamento gratuito na rua,estacionamento gratuito na rua,890,0.20040531411844179,False,fora do intervalo 10-90% ou não top10 por frequência
Elevador,elevador,1704,0.38369736545823013,False,fora do intervalo 10-90% ou não top10 por frequência
Itens básicos de cozinha,itens basicos de cozinha,1971,0.44381895969376267,False,fora do intervalo 10-90% ou não top10 por frequência
Entrada privada,entrada privada,598,0.13465435712677326,False,fora do intervalo 10-90% ou não top10 por frequência
Permitido animais,permitido animais,1812,0.4080162125647377,False,fora do intervalo 10-90% ou não top10 por frequência
Cobertores e travesseiros extras,cobertores e travesseiros extras,944,0.21256473767169556,False,fora do intervalo 10-90% ou não top10 por frequência
Local para guardar as roupas,local para guardar as roupas,646,0.14546273361855439,False,fora do intervalo 10-90% ou não top10 por frequência
Conexão à Ethernet,conexao a ethernet,503,0.11326277865345642,False,fora do intervalo 10-90% ou não top10 por frequência
HDTV com TV a cabo,hdtv com tv a cabo,16,0.0036027921639270434,False,fora do intervalo 10-90% ou não top10 por frequência
Extintor de incêndio,extintor de incendio,1773,0.3992344066651655,False,fora do intervalo 10-90% ou não top10 por frequência
Espaço de trabalho exclusivo,espaco de trabalho exclusivo,794,0.17878856113487954,False,fora do intervalo 10-90% ou não top10 por frequência
Freezer,freezer,849,0.19117315919837874,False,fora do intervalo 10-90% ou não top10 por frequência
Chaleira de água quente,chaleira de agua quente,1175,0.26458004953839226,False,fora do intervalo 10-90% ou não top10 por frequência
Lixeira compactadora,lixeira compactadora,118,0.026570592208961945,False,fora do intervalo 10-90% ou não top10 por frequência
Utensílios para churrasco,utensilios para churrasco,1433,0.32267507318171584,False,fora do intervalo 10-90% ou não top10 por frequência
Acesso à praia (à beira-mar),acesso a praia (a beira-mar),1603,0.3609547399234407,False,fora do intervalo 10-90% ou não top10 por frequência
Lavanderia nas proximidades,lavanderia nas proximidades,571,0.12857464535014637,False,fora do intervalo 10-90% ou não top10 por frequência
Móveis externos,moveis externos,314,0.07070479621706822,False,fora do intervalo 10-90% ou não top10 por frequência
Área de jantar externa,area de jantar externa,703,0.15829768070254446,False,fora do intervalo 10-90% ou não top10 por frequência
Permitido fumar,permitido fumar,818,0.1841927493807701,False,fora do intervalo 10-90% ou não top10 por frequência
Self check-in,self check-in,506,0.11393830218419275,False,fora do intervalo 10-90% ou não top10 por frequência
Cofre de chaves,cofre de chaves,106,0.023868498086016664,False,fora do intervalo 10-90% ou não top10 por frequência
Produtos de limpeza,produtos de limpeza,476,0.10718306687682955,False,fora do intervalo 10-90% ou não top10 por frequência
Blackout nas cortinas,blackout nas cortinas,1504,0.3386624634091421,False,fora do intervalo 10-90% ou não top10 por frequência
Detector de fumaça,detector de fumaca,674,0.1517676199054267,False,fora do intervalo 10-90% ou não top10 por frequência
